feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
STR_GGB12796_SGB19893	disease_status	periodontitis	0.355616587421883	0.643885264156661	42	6	0.583817256769547	0.778425132802632
STR_Selenomonas_sp_oral_taxon_892	disease_status	periodontitis	-0.391845110120219	0.731221363591514	42	5	0.595010673853087	0.778425132802632
STR_Selenomonas_noxia	disease_status	periodontitis	-0.377310492409287	0.766190762465326	42	18	0.625093647369189	0.77993335818541
STR_Parvimonas_micra	disease_status	periodontitis	0.426711138102441	0.853086090475553	42	10	0.619677239313132	0.77993335818541
STR_Eubacterium_yurii	disease_status	periodontitis	0.228777990174633	0.509570276489889	42	5	0.655881698749357	0.810908282090114
STR_Streptococcus_anginosus	disease_status	periodontitis	0.183531486718361	0.419924370737985	42	5	0.664419519215405	0.814063555074731
STR_Prevotella_nigrescens	disease_status	periodontitis	0.342822846244512	0.806455017235526	42	18	0.67304306949506	0.817266584386858
STR_Leptotrichia_hongkongensis	disease_status	periodontitis	-0.205773138844865	0.517525849707318	42	8	0.693032142921241	0.81958583858512
STR_Selenomonas_sputigena	disease_status	periodontitis	0.323032997955443	0.806374598155252	42	12	0.690846984918585	0.81958583858512
STR_Lachnoanaerobaculum_saburreum	disease_status	periodontitis	-0.160650912531385	0.393959938605865	42	7	0.685606069166627	0.81958583858512
STR_GGB4400_SGB6074	disease_status	periodontitis	-0.268802899372238	0.726953343599683	42	7	0.71350713005826	0.836223728974145
STR_Bacteroidetes_oral_taxon_274	disease_status	periodontitis	0.421091759384847	1.21640016776156	42	15	0.731022809210108	0.836223728974145
STR_GGB12790_SGB19844	disease_status	periodontitis	-0.19187772454249	0.555722095283549	42	6	0.731695762852377	0.836223728974145
STR_Centipeda_periodontii	disease_status	periodontitis	-0.194354461961418	0.561382923002249	42	5	0.73100197515457	0.836223728974145
STR_GGB1022_SGB1315	disease_status	periodontitis	0.155794322429471	0.523878456163624	42	7	0.767710561958064	0.855960930460732
STR_Streptococcus_cristatus	disease_status	periodontitis	0.325482046322525	1.0398593648512	42	11	0.75590246699827	0.855960930460732
STR_Gemella_morbillorum	disease_status	periodontitis	-0.130909976340265	0.453114383808828	42	7	0.774141135637279	0.855960930460732
STR_Campylobacter_showae	disease_status	periodontitis	0.152059173373656	0.513705671514499	42	6	0.768758023761354	0.855960930460732
STR_GGB3385_SGB4472	disease_status	periodontitis	0.17382932889465	0.66474745544698	42	8	0.795051236833301	0.871991679107492
STR_Prevotella_maculosa	disease_status	periodontitis	-0.213444983130243	0.976251941950365	42	14	0.82804439810882	0.900912305142396
STR_Tannerella_sp_oral_taxon_HOT_286	disease_status	periodontitis	-0.218474375690846	1.40888118287396	42	20	0.877546463498011	0.936691874728619
STR_Porphyromonas_sp_oral_taxon_278	disease_status	periodontitis	-0.0959130290029794	0.585964371810853	42	9	0.870804125363487	0.936691874728619
STR_Actinomyces_johnsonii	disease_status	periodontitis	0.0548064765882852	0.36560636780379	42	7	0.881592352685759	0.936691874728619
STR_Selenomonas_massiliensis	disease_status	periodontitis	0.0492964193386341	0.404034777501241	42	6	0.903501754906089	0.952528981916497
STR_Leptotrichia_buccalis	disease_status	periodontitis	0.0331078480633007	0.37737631449913	42	7	0.93052771116169	0.963023237253435
STR_Leptotrichia_sp_oral_taxon_212	disease_status	periodontitis	-0.0436614015864345	0.62350157798891	42	14	0.944521789675027	0.963023237253435
STR_Actinomyces_sp_oral_taxon_448	disease_status	periodontitis	-0.0541693706402833	0.839304831626606	42	8	0.948861130823237	0.963023237253435
STR_GGB1201_SGB1566	disease_status	periodontitis	-0.0637275227961938	0.887681187742946	42	10	0.943125997574177	0.963023237253435
STR_GGB4533_SGB6246	disease_status	periodontitis	-0.0291952780209737	0.31769742720923	42	5	0.927238980856349	0.963023237253435
STR_Selenomonas_SGB5891	disease_status	periodontitis	-0.0234717106265655	0.519892537279147	42	8	0.964214592896572	0.971356923214324
STR_Porphyromonas_pasteri	disease_status	periodontitis	0.0163471668890336	1.16925748026723	42	17	0.988914792132057	0.988914792132057
