cohort_dropped	taxon_id	taxon_name	n_cohorts	direction	effect_size	p_value	q_value
geng2024_PRJDB11203	STR_Aggregatibacter_aphrophilus	Aggregatibacter_aphrophilus	5	disease_enriched	2.93248520468444	0.0888896278129579	0.181051266465657
geng2024_PRJDB11203	STR_Aggregatibacter_segnis	Aggregatibacter_segnis	5	disease_enriched	1.16226239838978	0.0398712788715509	0.0952321193191
geng2024_PRJDB11203	STR_Aggregatibacter_sp_oral_taxon_458	Aggregatibacter_sp_oral_taxon_458	5	health_enriched	-1.25937959797459	0.0331939708097223	0.081632580065391
geng2024_PRJDB11203	STR_Alloprevotella_SGB1466	Alloprevotella_SGB1466	4	health_enriched	-0.926019337993631	0.43709747397412	0.573582455966039
geng2024_PRJDB11203	STR_Alloprevotella_rava	Alloprevotella_rava	5	health_enriched	0.293546399603816	0.993658937469675	0.994982570711336
geng2024_PRJDB11203	STR_Alloprevotella_sp_Lung230	Alloprevotella_sp_Lung230	3	health_enriched	-0.168928655454457	0.929624048663161	0.961480324474048
geng2024_PRJDB11203	STR_Alloprevotella_tannerae	Alloprevotella_tannerae	5	disease_enriched	0.996821147815394	0.0728041802794842	0.152018791526973
geng2024_PRJDB11203	STR_Alloscardovia_omnicolens	Alloscardovia_omnicolens	2	disease_enriched	5.99305271344419	0.0265881109932206	0.0695059279507815
geng2024_PRJDB11203	STR_Anaeroglobus_geminatus	Anaeroglobus_geminatus	5	disease_enriched	3.436794230344	5.88865006336617e-05	0.000454658563031993
geng2024_PRJDB11203	STR_Anaerolineaceae_bacterium_oral_taxon_439	Anaerolineaceae_bacterium_oral_taxon_439	3	disease_enriched	6.24598482050726	3.94517001972227e-05	0.000319462547938486
geng2024_PRJDB11203	STR_Arachnia_SGB15898	Arachnia_SGB15898	4	disease_enriched	0.392624538827596	0.270644784204801	0.410292549570749
geng2024_PRJDB11203	STR_Arachnia_SGB15899	Arachnia_SGB15899	4	health_enriched	-1.23871019180516	0.7525533308277	0.849822128689784
geng2024_PRJDB11203	STR_Bacteroidaceae_bacterium	Bacteroidaceae_bacterium	5	health_enriched	-2.17227637098175	0.0601262196778989	0.134877736034206
geng2024_PRJDB11203	STR_Bacteroidaceae_unclassified_SGB1468	Bacteroidaceae_unclassified_SGB1468	5	health_enriched	-1.52789404774658	0.0179253827195893	0.0517498005469882
geng2024_PRJDB11203	STR_Bacteroides_heparinolyticus	Bacteroides_heparinolyticus	2	disease_enriched	7.08993863645707	0.00261764856019299	0.0108632415248009
geng2024_PRJDB11203	STR_Bacteroidetes_oral_taxon_274	Bacteroidetes_oral_taxon_274	5	disease_enriched	2.43268812805098	0.00224888025248618	0.00988267907289386
geng2024_PRJDB11203	STR_Bacteroidetes_unclassified_SGB1343	Bacteroidetes_unclassified_SGB1343	5	disease_enriched	4.21452684443341	1.3907223267863e-06	1.64899933033233e-05
geng2024_PRJDB11203	STR_Bergeyella_cardium	Bergeyella_cardium	2	disease_enriched	2.766983310144	0.0667790085256297	0.143036327938768
geng2024_PRJDB11203	STR_Bifidobacterium_dentium	Bifidobacterium_dentium	3	disease_enriched	4.10406228361491	0.362257338586165	0.50321939920756
geng2024_PRJDB11203	STR_Bifidobacterium_longum	Bifidobacterium_longum	2	disease_enriched	1.49850483291961	0.110206793102569	0.213968744503234
geng2024_PRJDB11203	STR_Bulleidia_extructa	Bulleidia_extructa	4	disease_enriched	1.58061221662134	0.023464650947188	0.0633354806054179
geng2024_PRJDB11203	STR_Campylobacter_SGB19314	Campylobacter_SGB19314	2	health_enriched	0.89022314668713	0.215359925962909	0.352214263151161
geng2024_PRJDB11203	STR_Campylobacter_SGB19317	Campylobacter_SGB19317	3	health_enriched	-0.931864268696776	0.144242327078256	0.257464798870866
geng2024_PRJDB11203	STR_Campylobacter_SGB19337	Campylobacter_SGB19337	4	disease_enriched	0.93241829678799	0.493720888334425	0.625631049339806
geng2024_PRJDB11203	STR_Campylobacter_concisus	Campylobacter_concisus	5	health_enriched	-0.874900257396306	0.0139079960776708	0.0412272740873813
geng2024_PRJDB11203	STR_Campylobacter_curvus	Campylobacter_curvus	2	disease_enriched	-0.0897350430884886	0.4135509476827	0.547007628010584
geng2024_PRJDB11203	STR_Campylobacter_gracilis	Campylobacter_gracilis	5	disease_enriched	2.10272608513976	0.00102697971853752	0.00516601919021904
geng2024_PRJDB11203	STR_Campylobacter_rectus	Campylobacter_rectus	4	disease_enriched	4.78081090770827	1.09931867086982e-09	3.64973798728779e-08
geng2024_PRJDB11203	STR_Campylobacter_showae	Campylobacter_showae	4	disease_enriched	0.257114798590835	0.688859537135623	0.816264556860554
geng2024_PRJDB11203	STR_Candidatus_Absconditabacteria_unclassified_SGB6894	Candidatus_Absconditabacteria_unclassified_SGB6894	3	disease_enriched	1.88112444519703	0.455452025176747	0.586822106268147
geng2024_PRJDB11203	STR_Candidatus_Gracilibacteria_bacterium_GN02_872	Candidatus_Gracilibacteria_bacterium_GN02_872	2	health_enriched	-3.10957278110843	0.0721080239826516	0.151518126343293
geng2024_PRJDB11203	STR_Candidatus_Gracilibacteria_bacterium_GN02_873	Candidatus_Gracilibacteria_bacterium_GN02_873	3	disease_enriched	1.01954543224044	0.141182850881066	0.253365981040615
geng2024_PRJDB11203	STR_Candidatus_Gracilibacteria_bacterium_HOT_871	Candidatus_Gracilibacteria_bacterium_HOT_871	2	health_enriched	-0.800786451703367	0.402129926111378	0.5370179988263
geng2024_PRJDB11203	STR_Candidatus_Nanoperiomorbus_periodonticus	Candidatus_Nanoperiomorbus_periodonticus	5	disease_enriched	1.04200148876372	0.795241869489471	0.87459749423576
geng2024_PRJDB11203	STR_Candidatus_Nanosynbacter_lyticus	Candidatus_Nanosynbacter_lyticus	4	disease_enriched	2.87076061587274	0.0301651731521016	0.0758699809583161
geng2024_PRJDB11203	STR_Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	5	disease_enriched	1.18450785996168	0.00997502162860747	0.0318433382759392
geng2024_PRJDB11203	STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_488	Candidatus_Saccharibacteria_bacterium_oral_taxon_488	4	health_enriched	1.4428744738472	0.660696486431552	0.786205137975897
geng2024_PRJDB11203	STR_Candidatus_Saccharibacteria_bacterium_oral_taxon_955	Candidatus_Saccharibacteria_bacterium_oral_taxon_955	4	disease_enriched	1.72973912642862	0.357286818274418	0.502247974861955
geng2024_PRJDB11203	STR_Candidatus_Saccharibacteria_unclassified_SGB19782	Candidatus_Saccharibacteria_unclassified_SGB19782	5	health_enriched	-2.42122818928101	0.135681703912468	0.247507284060107
geng2024_PRJDB11203	STR_Candidatus_Saccharibacteria_unclassified_SGB19850	Candidatus_Saccharibacteria_unclassified_SGB19850	5	health_enriched	-2.30256329075552	4.80673347824085e-05	0.000379960836851419
geng2024_PRJDB11203	STR_Capnocytophaga_SGB2480	Capnocytophaga_SGB2480	4	disease_enriched	0.42819278428935	0.47260141366219	0.605805673111379
geng2024_PRJDB11203	STR_Capnocytophaga_SGB2499	Capnocytophaga_SGB2499	4	disease_enriched	0.203473733603489	0.395429304574272	0.531508215055297
geng2024_PRJDB11203	STR_Capnocytophaga_gingivalis	Capnocytophaga_gingivalis	4	disease_enriched	0.079486505226066	0.994982570711336	0.994982570711336
geng2024_PRJDB11203	STR_Capnocytophaga_granulosa	Capnocytophaga_granulosa	5	disease_enriched	0.786136179679251	0.216719459778568	0.35270029728669
geng2024_PRJDB11203	STR_Capnocytophaga_haemolytica	Capnocytophaga_haemolytica	2	health_enriched	-1.42073319059736	0.982905265767082	0.988862267377791
