candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,evidence_kind,confidence
CAND_2ec8b68c6dbd,STR_Gemella_sanguinis,Gemella_sanguinis,periodontitis,health_enriched,-2.5146374294671743,0.07474485193146588,LINK_d9eb0099c94d,vOTU_yahara2021_01677,published_prediction,0.64
CAND_722299aee4f4,STR_Lachnospiraceae_bacterium_oral_taxon_500,Lachnospiraceae_bacterium_oral_taxon_500,periodontitis,disease_enriched,2.472160455616671,1.1126757232137266e-5,LINK_155b00d9de7b,vOTU_yahara2021_00454,published_prediction,0.56
CAND_27c5eb439ce7,STR_Megasphaera_micronuciformis,Megasphaera_micronuciformis,periodontitis,health_enriched,-0.8871083880641767,0.8012225330445789,LINK_e497a3c419b1,vOTU_yahara2021_01162,published_prediction,0.79
CAND_27c5eb439ce7,STR_Megasphaera_micronuciformis,Megasphaera_micronuciformis,periodontitis,health_enriched,-0.8871083880641767,0.8012225330445789,LINK_6395fa527237,vOTU_yahara2021_01539,published_prediction,0.77
CAND_27c5eb439ce7,STR_Megasphaera_micronuciformis,Megasphaera_micronuciformis,periodontitis,health_enriched,-0.8871083880641767,0.8012225330445789,LINK_f8b9f95be8f0,vOTU_yahara2021_01578,published_prediction,0.78
CAND_27c5eb439ce7,STR_Megasphaera_micronuciformis,Megasphaera_micronuciformis,periodontitis,health_enriched,-0.8871083880641767,0.8012225330445789,LINK_c9490f0d5027,vOTU_yahara2021_01646,published_prediction,0.85
CAND_3a69cfd82700,STR_Mogibacterium_diversum,Mogibacterium_diversum,periodontitis,health_enriched,-1.3884128921761243,0.41558437714248486,LINK_a4e06190fe7c,vOTU_yahara2021_01195,published_prediction,0.65
CAND_3a69cfd82700,STR_Mogibacterium_diversum,Mogibacterium_diversum,periodontitis,health_enriched,-1.3884128921761243,0.41558437714248486,LINK_2a3aa906a7ab,vOTU_yahara2021_01213,published_prediction,0.6
CAND_1518a7144357,STR_Neisseria_sp_oral_taxon_014,Neisseria_sp_oral_taxon_014,periodontitis,health_enriched,0.09301035411037115,0.3231342084179123,LINK_3a4ee78ab1f9,vOTU_yahara2021_00713,published_prediction,0.64
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_e4d1746169cd,vOTU_yahara2021_00575,published_prediction,0.52
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_c13053dada33,vOTU_yahara2021_00626,published_prediction,0.51
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_9e088b02b5d9,vOTU_yahara2021_00758,published_prediction,0.63
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_cc4b8a7e20f6,vOTU_yahara2021_01109,published_prediction,0.69
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_ff2d0f008dfe,vOTU_yahara2021_01130,published_prediction,0.59
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_49d0eefca498,vOTU_yahara2021_01291,published_prediction,0.59
CAND_f0b1ec68a003,STR_Oribacterium_sinus,Oribacterium_sinus,periodontitis,health_enriched,-2.5966029551259164,0.003267001060621993,LINK_bf5b5351df17,vOTU_yahara2021_01640,published_prediction,0.69
CAND_0d3c3d6a6f03,STR_Peptoanaerobacter_stomatis,Peptoanaerobacter_stomatis,periodontitis,disease_enriched,4.406614981330917,9.332407433775917e-4,LINK_7211ec732c61,vOTU_yahara2021_00869,published_prediction,0.56
CAND_1f1ceea3e4dc,STR_Porphyromonas_catoniae,Porphyromonas_catoniae,periodontitis,health_enriched,-1.245052920871793,0.16946794776261645,LINK_1238cb2678b4,vOTU_yahara2021_00878,published_prediction,0.8
CAND_1884848ec69e,STR_Porphyromonas_endodontalis,Porphyromonas_endodontalis,periodontitis,disease_enriched,2.9752459480988307,1.4294703130526443e-9,LINK_61880cb0b283,vOTU_yahara2021_00311,published_prediction,0.75
CAND_68b117e122fc,STR_Prevotella_aurantiaca,Prevotella_aurantiaca,periodontitis,health_enriched,-1.4851257171530368,0.5153756611350658,LINK_03f74e6ebff6,vOTU_yahara2021_01280,published_prediction,0.77
CAND_e789039701a4,STR_Prevotella_fusca,Prevotella_fusca,periodontitis,disease_enriched,2.1382853324266446,0.2181110800056399,LINK_38b8b1864b67,vOTU_yahara2021_01633,published_prediction,0.7
CAND_57a9bf8590b4,STR_Prevotella_histicola,Prevotella_histicola,periodontitis,disease_enriched,-0.06608669248371868,0.6838024408100544,LINK_3319736ebd7b,vOTU_yahara2021_01597,published_prediction,0.55
CAND_3ae09b9ebe81,STR_Prevotella_shahii,Prevotella_shahii,periodontitis,health_enriched,-3.6681265463544133,1.4823558436424607e-4,LINK_f22af2374259,vOTU_yahara2021_00307,published_prediction,0.56
CAND_1ae3f2658296,STR_Pseudopropionibacterium_propionicum,Pseudopropionibacterium_propionicum,periodontitis,health_enriched,0.11546901864672769,0.7668720697401219,LINK_cc996858f002,vOTU_yahara2021_00761,published_prediction,0.8
CAND_1ae3f2658296,STR_Pseudopropionibacterium_propionicum,Pseudopropionibacterium_propionicum,periodontitis,health_enriched,0.11546901864672769,0.7668720697401219,LINK_e4d29c6f834e,vOTU_yahara2021_00774,published_prediction,0.62
CAND_a3b259cdf2c3,STR_Stomatobaculum_longum,Stomatobaculum_longum,periodontitis,disease_enriched,-0.01415562236791408,0.38697921109361133,LINK_9b4606f28bc9,vOTU_yahara2021_00060,published_prediction,0.77
CAND_a3b259cdf2c3,STR_Stomatobaculum_longum,Stomatobaculum_longum,periodontitis,disease_enriched,-0.01415562236791408,0.38697921109361133,LINK_2299d78194dd,vOTU_yahara2021_01014,published_prediction,0.8
CAND_a3b259cdf2c3,STR_Stomatobaculum_longum,Stomatobaculum_longum,periodontitis,disease_enriched,-0.01415562236791408,0.38697921109361133,LINK_901e59a560cf,vOTU_yahara2021_01170,published_prediction,0.87
CAND_22ffeb10f3bc,STR_Streptococcus_parasanguinis,Streptococcus_parasanguinis,periodontitis,health_enriched,-1.5491944239071618,0.40753226548847526,LINK_26a369558f15,vOTU_yahara2021_01354,published_prediction,0.82
CAND_8cfed4813de4,STR_Veillonella_atypica,Veillonella_atypica,periodontitis,health_enriched,-0.4220783529718549,0.7338078177187988,LINK_07d072349b21,vOTU_yahara2021_01041,published_prediction,0.84
