candidate_id,taxon_id,taxon_name,phenotype,direction,effect_size,q_value,link_id,vOTU_id,host_taxon_id,evidence_kind,confidence
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_f23acbcfdc6e,vOTU_yahara2021_00339,STR_Streptococcus,published_prediction,0.58
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_0775f7854177,vOTU_yahara2021_00350,STR_Streptococcus,published_prediction,0.92
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_2ba5d3081298,vOTU_yahara2021_00351,STR_Streptococcus,published_prediction,0.53
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_54f4836ef78f,vOTU_yahara2021_00391,STR_Streptococcus,published_prediction,0.54
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_51fb51b5df1f,vOTU_yahara2021_00411,STR_Streptococcus,published_prediction,0.74
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_766c317828d6,vOTU_yahara2021_00429,STR_Streptococcus,published_prediction,0.77
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_5b7168864beb,vOTU_yahara2021_00438,STR_Streptococcus,published_prediction,1
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_29e567e4a042,vOTU_yahara2021_00476,STR_Streptococcus,published_prediction,0.71
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_7a9d3d9824f9,vOTU_yahara2021_00480,STR_Streptococcus,published_prediction,0.68
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_caad15918937,vOTU_yahara2021_00497,STR_Streptococcus,published_prediction,0.69
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_ecd37b9d9ade,vOTU_yahara2021_00502,STR_Streptococcus,published_prediction,0.8
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_8ba2fd4d7b06,vOTU_yahara2021_00505,STR_Streptococcus,published_prediction,0.7
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_db87052b4f48,vOTU_yahara2021_00508,STR_Streptococcus,published_prediction,0.54
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_48d6b78ce16c,vOTU_yahara2021_00520,STR_Streptococcus,published_prediction,0.75
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_e4adf8e3a7f6,vOTU_yahara2021_00522,STR_Streptococcus,published_prediction,0.74
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_5940af81c0a8,vOTU_yahara2021_00528,STR_Streptococcus,published_prediction,0.57
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_715f452a88de,vOTU_yahara2021_00532,STR_Streptococcus,published_prediction,0.7
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_cbed76fc4078,vOTU_yahara2021_00541,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_adbf26cdf526,vOTU_yahara2021_00542,STR_Streptococcus,published_prediction,0.57
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_2adb74221a30,vOTU_yahara2021_00545,STR_Streptococcus,published_prediction,0.64
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_e9d4eac09563,vOTU_yahara2021_00574,STR_Streptococcus,published_prediction,0.72
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_30c1e9dc9eae,vOTU_yahara2021_00597,STR_Streptococcus,published_prediction,0.62
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_dbc3bd50301b,vOTU_yahara2021_00599,STR_Streptococcus,published_prediction,0.51
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_51880bd2f408,vOTU_yahara2021_00603,STR_Streptococcus,published_prediction,0.63
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_a229599e2ccb,vOTU_yahara2021_00606,STR_Streptococcus,published_prediction,0.66
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_9e138d7e508b,vOTU_yahara2021_00612,STR_Streptococcus,published_prediction,1
CAND_1bb8facd8dfa,STR_Streptococcus_sanguinis,Streptococcus_sanguinis,periodontitis,health_enriched,-4.060388312094578,0.17517416015654583,LINK_aff4f0eef267,vOTU_yahara2021_00615,STR_Streptococcus,published_prediction,0.75
