taxon_id,effect_size,se,p_value,tau2,I2,n_cohorts,taxon_name,q_value,direction
STR_Capnocytophaga_sputigena,0.07121860756443608,0.12062119564926123,0.5549010968094197,0.061057654529142996,71.30664390804384,6,Capnocytophaga_sputigena,0.6956392667627607,disease_enriched
STR_Cardiobacterium_hominis,-0.10996739628070298,0.0760763732748574,0.14832118729839436,0.004845935043465506,16.56013124984919,5,Cardiobacterium_hominis,0.27881808461204166,health_enriched
STR_Cardiobacterium_valvarum,0.0707094523558616,0.1085810517150561,0.5149086434531278,0.03509836722618177,60.0861738325467,5,Cardiobacterium_valvarum,0.674429360444489,disease_enriched
STR_Catonella_morbi,0.3240619271041019,0.15212649206280673,0.03315398016370142,0.0974417438850357,85.4092899096768,5,Catonella_morbi,0.09384262181929046,disease_enriched
STR_Centipeda_periodontii,0.2835946625057015,0.20129234774071064,0.15887374030266274,0.10294730181877992,84.93229026787911,3,Centipeda_periodontii,0.29479905145049645,disease_enriched
STR_Colibacter_massiliensis,0.15376577534979421,0.10627633320966777,0.14793930151937068,0,0,2,Colibacter_massiliensis,0.27881808461204166,disease_enriched
STR_Corynebacterium_durum,-0.25233095239040004,0.09348326514027971,0.006950432869912789,0.027889306077565804,55.59581030203238,6,Corynebacterium_durum,0.02579382865056524,health_enriched
STR_Corynebacterium_matruchotii,0.19842187956370153,0.2119982222634623,0.34929372596546576,0.2499245203307335,93.80288578616582,6,Corynebacterium_matruchotii,0.5050394133007167,disease_enriched
STR_Cryptobacterium_curtum,0.02511860768095352,0.13828438249025574,0.8558616660977442,0.013754050806161645,33.833398956584325,2,Cryptobacterium_curtum,0.93113288754608,disease_enriched
STR_Desulfobulbus_oralis,0.5665357083516183,0.095074591252855,2.5401126985011126e-9,0.016502291140904218,61.22984931896539,3,Desulfobulbus_oralis,4.737019642804625e-8,disease_enriched
STR_Desulfomicrobium_orale,0.21324876481621485,0.11748609562755344,0.06950886670076187,0,0,2,Desulfomicrobium_orale,0.15901343478119495,disease_enriched
STR_Desulfovibrio_sp_OH1186_COT_070,0.21086657732469355,0.11053290705041206,0.05642654972722115,0,0,2,Desulfovibrio_sp_OH1186_COT_070,0.13954378258525085,disease_enriched
STR_Dialister_invisus,0.39235316705755197,0.07284172305152015,7.189107010859662e-8,0.01237116485557561,39.147090913348684,6,Dialister_invisus,9.604646966508508e-7,disease_enriched
STR_Dialister_pneumosintes,0.24986121063056213,0.0788620741566737,0.0015331648015238198,0.009465033017180236,30.494116815561142,5,Dialister_pneumosintes,0.008001203807952434,disease_enriched
STR_Eggerthia_catenaformis,0.23021415017696747,0.11156343517163927,0.03906259419886324,0,0,2,Eggerthia_catenaformis,0.10607241026357984,disease_enriched
STR_Eikenella_corrodens,0.03906295358028838,0.10858262176074839,0.7190316493650579,0.03470108403617528,59.584149937855,5,Eikenella_corrodens,0.8203805738088558,disease_enriched
STR_Eikenella_halliae,-0.09712833048794281,0.09581376396071428,0.3107163695417443,0,0,2,Eikenella_halliae,0.4706531189018619,health_enriched
STR_Eubacterium_brachy,0.44677494598200546,0.14773368581219176,0.0024929864254246634,0.11588702693491341,91.04860845437781,6,Eubacterium_brachy,0.011895106658454823,disease_enriched
STR_Eubacterium_infirmum,0.2841683126170279,0.11715369641702454,0.01528299442136824,0.03406145713972548,62.404008521950246,4,Eubacterium_infirmum,0.04908192439170185,disease_enriched
STR_Eubacterium_nodatum,0.5526073376687497,0.04702819078962598,7.015662881143011e-32,0,0,6,Eubacterium_nodatum,2.3432314023017657e-29,disease_enriched
STR_Eubacterium_saphenum,0.5651562168686807,0.10006361426070487,1.62354202930345e-8,0.0362057477323291,76.14021696859494,5,Eubacterium_saphenum,2.7113151889367616e-7,disease_enriched
STR_Eubacterium_sulci,-0.31826325837218006,0.06720723039591264,2.1846089870804917e-6,0,0,5,Eubacterium_sulci,2.35374000543511e-5,health_enriched
STR_Eubacterium_yurii,0.20684927830757704,0.08632755147621239,0.016570656655368457,0.014905248415550227,40.115856157609656,5,Eubacterium_yurii,0.05221320115936853,disease_enriched
STR_Filifactor_alocis,0.62318701421291,0.05481368427018776,5.953971555689092e-30,0.007279448005787915,41.4781900368807,6,Filifactor_alocis,6.628754998667189e-28,disease_enriched
STR_Fretibacterium_fastidiosum,0.46177550677809404,0.05313486176485169,3.604301504753908e-18,0,0,6,Fretibacterium_fastidiosum,1.719766717982579e-16,disease_enriched
STR_Fusobacterium_hwasookii,0.16534489204631883,0.09766190219096495,0.09044905191680683,0,0,3,Fusobacterium_hwasookii,0.18999989522146843,disease_enriched
STR_Fusobacterium_nucleatum,0.6039192971277674,0.11177157824457988,6.547838875606905e-8,0.06539300387195987,95.0823642058151,6,Fusobacterium_nucleatum,9.112409101886276e-7,disease_enriched
