taxon_id,p_value,U,r,var_r,log2fc,mean_case,mean_ctrl,taxon_name,source_id,n_case,n_ctrl,n_total
STR_Haemophilus_parainfluenzae,0.4956154138836511,196.5,-0.10068649885583525,0.02389822517800506,-1.1558352741448914,0.002300406554428515,0.005126839615426529,Haemophilus_parainfluenzae,geng2024_PRJDB11203,23,19,42
STR_Neisseria_elongata,0.0686031727459556,153,-0.29977116704805495,0.02020365388090118,-1.2654167696693897,0.004355491121596187,0.010471858553230882,Neisseria_elongata,geng2024_PRJDB11203,23,19,42
STR_Streptococcus_gordonii,0.2849066773634785,189,-0.13501144164759726,0.023509172792457695,-2.63866492067934,0.001268121697587834,0.00790252003851607,Streptococcus_gordonii,geng2024_PRJDB11203,23,19,42
STR_Capnocytophaga_ochracea,0.4452057332457455,189,-0.13501144164759726,0.023509172792457695,-1.0612210289430857,0.009407333989639107,0.019631340958183127,Capnocytophaga_ochracea,geng2024_PRJDB11203,23,19,42
STR_Leptotrichia_hofstadii,0.8032555808780971,212,-0.029748283752860427,0.02434709420444887,-0.7067077994374128,6.695407376000884e-4,0.0010933731106100985,Leptotrichia_hofstadii,geng2024_PRJDB11203,23,19,42
STR_Kytococcus_sedentarius,0.2053551151788639,187.5,-0.14187643020594964,0.023418227575187602,-3.9571602560000496,6.857060606471862e-5,0.0010795620765107008,Kytococcus_sedentarius,geng2024_PRJDB11203,23,19,42
STR_Prevotella_veroralis,0.9668792226448351,217,-0.006864988558352381,0.02438794502646932,2.4470003774848683,0.001707969365153279,3.1241066046738857e-4,Prevotella_veroralis,geng2024_PRJDB11203,23,19,42
STR_Pauljensenia_hongkongensis,0.7539512386432933,209.5,-0.041189931350114395,0.024307552624335284,-1.3815906169737895,3.099255391020711e-4,8.091335415973085e-4,Pauljensenia_hongkongensis,geng2024_PRJDB11203,23,19,42
STR_Isoptericola_variabilis,0.1390831161725338,180,-0.17620137299771166,0.02289926984848193,-2.2743929384357284,3.656050313493407e-4,0.0017726132206918929,Isoptericola_variabilis,geng2024_PRJDB11203,23,19,42
STR_Granulicatella_adiacens,0.4362544419579485,198,-0.09382151029748287,0.023962744682710035,-2.558560531957518,1.3032267826375648e-4,7.726476260198098e-4,Granulicatella_adiacens,geng2024_PRJDB11203,23,19,42
STR_candidate_division_SR1_bacterium_MGEHA,0.7875101729389323,225,0.029748283752860427,0.02434709420444887,0.8798999263329764,0.0011803041781402756,6.409267430213759e-4,candidate_division_SR1_bacterium_MGEHA,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_sputigena,0.9873567539216261,217.5,-0.004576659038901587,0.024389222166410006,1.9750645888230294,0.003347950031325221,8.50834024596366e-4,Selenomonas_sputigena,geng2024_PRJDB11203,23,19,42
STR_GGB1201_SGB1566,0.9191546533891333,215,-0.016018306636155555,0.02437772911076759,1.4935910859376693,0.002977435482360678,0.0010567242927447742,GGB1201_SGB1566,geng2024_PRJDB11203,23,19,42
STR_Anaeroglobus_geminatus,0.15801749308792082,253,0.1578947368421053,0.02318926942309992,3.4676269259399715,8.94194402643873e-4,7.992032894836847e-5,Anaeroglobus_geminatus,geng2024_PRJDB11203,23,19,42
STR_GGB6675_SGB9425,0.20843604494082102,247,0.13043478260869557,0.02356738987932259,6.166365042903315,0.004184976505359265,5.72822009974377e-5,GGB6675_SGB9425,geng2024_PRJDB11203,23,19,42
STR_Arachnia_SGB15898,0.47227206410946565,202,-0.07551487414187641,0.024112866488531077,-1.8422755129307062,0.0013303104252538594,0.004772748364286875,Arachnia_SGB15898,geng2024_PRJDB11203,23,19,42
STR_Peptidiphaga_gingivicola,0.22514765698160688,246,0.12585812356979398,0.02362366779341753,3.209880571679819,0.001820182442555688,1.9582629620684398e-4,Peptidiphaga_gingivicola,geng2024_PRJDB11203,23,19,42
STR_Lautropia_dentalis,0.5551955354083988,235,0.07551487414187652,0.024112866488531077,3.7724413773225547,0.020573316982575675,0.0015045924045256802,Lautropia_dentalis,geng2024_PRJDB11203,23,19,42
STR_Porphyromonas_endodontalis,0.003798784468718879,325,0.4874141876430207,0.014177940366778113,3.235180345373344,0.028658121377692927,0.003042522708353238,Porphyromonas_endodontalis,geng2024_PRJDB11203,23,19,42
STR_GGB12796_SGB19893,0.9338154924884083,216,-0.011441647597253968,0.024383858403372902,2.276920798335017,0.0010065110071165815,2.0688748320652248e-4,GGB12796_SGB19893,geng2024_PRJDB11203,23,19,42
STR_Dialister_invisus,0.025821557278690635,293,0.34096109839816924,0.01904893074872123,1.9967554910423218,0.0032269738637088117,8.07810373753721e-4,Dialister_invisus,geng2024_PRJDB11203,23,19,42
STR_GGB4533_SGB6246,0.8573906117044204,223,0.020594965675057253,0.024369557919100584,-0.6511584493472802,2.6269928612515387e-4,4.1312092869530024e-4,GGB4533_SGB6246,geng2024_PRJDB11203,23,19,42
STR_GGB12790_SGB19844,0.7713123838610099,211,-0.034324942791762014,0.024332804506437194,-1.4834273780485978,6.957693688689487e-4,0.0019472522537190401,GGB12790_SGB19844,geng2024_PRJDB11203,23,19,42
STR_Olsenella_sp_oral_taxon_807,0.4779890196955542,242,0.10755148741418763,0.02382924775752533,1.0121178626283207,0.003712522893521738,0.0018402309641197044,Olsenella_sp_oral_taxon_807,geng2024_PRJDB11203,23,19,42
STR_Tannerella_forsythia,0.006757366594780125,317,0.45080091533180777,0.015484293497952535,1.7712688183001768,0.057619196378106356,0.016878893001783118,Tannerella_forsythia,geng2024_PRJDB11203,23,19,42
STR_Campylobacter_rectus,0.26657043227343236,253,0.1578947368421053,0.02318926942309992,0.6520736992170999,0.010333700992026773,0.006575641567721692,Campylobacter_rectus,geng2024_PRJDB11203,23,19,42
STR_Eubacterium_brachy,0.4327812657322523,247,0.13043478260869557,0.02356738987932259,0.6892699410210517,0.003145946833606973,0.0019506344624508401,Eubacterium_brachy,geng2024_PRJDB11203,23,19,42
STR_Treponema_denticola,0.013517140172808419,301,0.37757437070938216,0.017931688502560758,3.9003381977780904,0.028999347862752715,0.001941157367203882,Treponema_denticola,geng2024_PRJDB11203,23,19,42
STR_GGB12790_SGB19845,0.8190754355815048,226,0.034324942791762014,0.024332804506437194,-2.8760133654626965,7.359945752305562e-4,0.005409415045341723,GGB12790_SGB19845,geng2024_PRJDB11203,23,19,42
STR_Lachnoanaerobaculum_saburreum,1,219,0.0022883295194509046,0.024389988466425396,-0.5838793186437328,7.855129001171764e-4,0.0011778839063564174,Lachnoanaerobaculum_saburreum,geng2024_PRJDB11203,23,19,42
STR_Actinomyces_sp_oral_taxon_897,0.3265171388929413,248,0.13501144164759715,0.023509172792457702,0.5306015631469129,0.0011404153648412103,7.891630700268537e-4,Actinomyces_sp_oral_taxon_897,geng2024_PRJDB11203,23,19,42
STR_Prevotella_denticola,0.25895104138372815,248,0.13501144164759715,0.023509172792457702,4.073497740250682,0.004121396003961605,2.4385258950948498e-4,Prevotella_denticola,geng2024_PRJDB11203,23,19,42
STR_Candidatus_Nanoperiomorbus_periodonticus,0.057224165313669556,279,0.276887871853547,0.02079375671736515,4.013727634476956,0.009092269942295388,5.619472103010999e-4,Candidatus_Nanoperiomorbus_periodonticus,geng2024_PRJDB11203,23,19,42
STR_Prevotella_intermedia,0.11677294195282929,267,0.22196796338672775,0.02204604774055774,4.0336874548865715,0.023513082115042824,0.001434711282995263,Prevotella_intermedia,geng2024_PRJDB11203,23,19,42
STR_GGB3385_SGB4472,0.8973094558786695,214.5,-0.01830663615560646,0.024373898694131986,0.6616101952161099,0.0019979603276689224,0.0012626874161462492,GGB3385_SGB4472,geng2024_PRJDB11203,23,19,42
STR_Selenomonas_massiliensis,0.8355308907393795,213,-0.02517162471395884,0.024359345855634797,1.5366608296534519,8.546748935887171e-4,2.93936000468792e-4,Selenomonas_massiliensis,geng2024_PRJDB11203,23,19,42
STR_Centipeda_periodontii,0.5293891405619291,204,-0.06636155606407323,0.024175894675664975,-1.6941694610572806,6.933414702413471e-5,2.2659465075161288e-4,Centipeda_periodontii,geng2024_PRJDB11203,23,19,42
STR_Mogibacterium_timidum,0.022606135499176505,302.5,0.38443935926773465,0.017713553963082367,3.097517101245172,0.0032336960159131587,3.7690959101201594e-4,Mogibacterium_timidum,geng2024_PRJDB11203,23,19,42
STR_Gemella_morbillorum,0.968948840757619,220,0.006864988558352492,0.02438794502646932,-0.5520600559807561,3.5070032864394497e-4,5.146552103932996e-4,Gemella_morbillorum,geng2024_PRJDB11203,23,19,42
