taxon_id,z_pool,p_value,effect_size,direction,n_cohorts,taxon_name,q_value
STR_GGB4400_SGB6074,-0.5370364877700333,0.5912424103366094,-1.0938429526371745,health_enriched,4,GGB4400_SGB6074,0.7077955736646149
STR_GGB4533_SGB6246,-0.04641644769620225,0.9629783272760406,0.35977196980423237,health_enriched,6,GGB4533_SGB6246,0.9761265355449917
STR_GGB4538_SGB6253,-2.247904236835077,0.024582296959518333,-1.4842116629107747,health_enriched,5,GGB4538_SGB6253,0.06729907528261576
STR_GGB4538_SGB6256,-2.4603190839444666,0.01388135386997752,-1.19577815085407,health_enriched,5,GGB4538_SGB6256,0.04301176564761157
STR_GGB4721_SGB6537,0.6451794318426309,0.5188109135431818,-0.7996474940674677,disease_enriched,4,GGB4721_SGB6537,0.64813611818136
STR_GGB4733_SGB6557,0.06846302993950151,0.9454170488307871,0.28378634469119923,disease_enriched,2,GGB4733_SGB6557,0.9686174672070028
STR_GGB4786_SGB6625,-1.6823922875582007,0.09249279593365858,-1.9975374678475224,health_enriched,2,GGB4786_SGB6625,0.18498559186731717
STR_GGB49229_SGB69060,5.45428975265992,4.916897156030326e-8,5.41980148008072,disease_enriched,5,GGB49229_SGB69060,8.211218250570643e-7
STR_GGB4936_SGB6889,-2.2250014165672045,0.026081143051133845,-3.9135223749425463,health_enriched,5,GGB4936_SGB6889,0.0708219656835667
STR_GGB6675_SGB9425,-0.601229773453067,0.5476869564610549,0.46330720025295796,health_enriched,4,GGB6675_SGB9425,0.6689609104382451
STR_GGB6814_SGB9728,-1.693548515971873,0.09035110827731023,-1.6115835112167605,health_enriched,4,GGB6814_SGB9728,0.1817907841242266
STR_Gemella_haemolysans,-0.917074023305256,0.3591038521505867,-0.5213324016360846,health_enriched,5,Gemella_haemolysans,0.5063694811091733
STR_Gemella_morbillorum,0.6581004126605449,0.5104736107250305,0.05664531071574266,disease_enriched,6,Gemella_morbillorum,0.6433893810647554
STR_Gemella_sanguinis,-2.1965113970974337,0.02805536031588008,-2.5146374294671743,health_enriched,5,Gemella_sanguinis,0.07474485193146588
STR_Granulicatella_adiacens,-1.0094249941506384,0.31277085660286424,-0.5950944643396175,health_enriched,6,Granulicatella_adiacens,0.4647666322117557
STR_Granulicatella_elegans,0.9179019843675481,0.3586701826817903,-0.5940749095526079,disease_enriched,5,Granulicatella_elegans,0.5063694811091733
STR_Haemophilus_haemolyticus,-2.5925512855935824,0.009526697611136116,-0.6339077472719474,health_enriched,4,Haemophilus_haemolyticus,0.031504128733856065
STR_Haemophilus_influenzae,-0.897468454365366,0.369468999064026,0.6529560835286425,health_enriched,3,Haemophilus_influenzae,0.5078298176435584
STR_Haemophilus_parahaemolyticus,-1.808995280664379,0.07045173653776449,-0.7690979591764779,health_enriched,5,Haemophilus_parahaemolyticus,0.14987821658352446
STR_Haemophilus_parainfluenzae,-3.2589743113887453,0.001118157920876059,-1.0619832817108807,health_enriched,6,Haemophilus_parainfluenzae,0.005335210651037196
STR_Haemophilus_paraphrohaemolyticus,-0.2615586332172493,0.7936617398374103,0.09975507862917406,health_enriched,3,Haemophilus_paraphrohaemolyticus,0.874861455794373
STR_Haemophilus_sputorum,-0.08308337258108321,0.9337852468891724,0.8666481105714744,health_enriched,5,Haemophilus_sputorum,0.9596439152645648
STR_Isoptericola_variabilis,-1.65858022824082,0.09720040864927926,-0.698448816225622,health_enriched,6,Isoptericola_variabilis,0.1921002159104099
STR_Johnsonella_ignava,0.6298031109493863,0.5288234100226783,0.5653454285109057,disease_enriched,4,Johnsonella_ignava,0.6517602175187253
STR_Kingella_denitrificans,-0.6748864916090094,0.4997478834881741,0.9287554002743474,health_enriched,5,Kingella_denitrificans,0.6322567919888263
STR_Kingella_oralis,0.187197291860621,0.8515059480904472,0.12331974017426006,disease_enriched,4,Kingella_oralis,0.9091396019864452
STR_Kytococcus_sedentarius,-0.235323021600271,0.8139580281152031,-0.847398144774844,health_enriched,6,Kytococcus_sedentarius,0.8795873165423734
STR_Lachnoanaerobaculum_orale,-0.8700689021528293,0.38426275107691804,-0.6051351211986857,health_enriched,5,Lachnoanaerobaculum_orale,0.5196103597558326
STR_Lachnoanaerobaculum_saburreum,1.5588312925045693,0.11903631567829102,1.318512886449556,disease_enriched,5,Lachnoanaerobaculum_saburreum,0.22336027773342249
STR_Lachnoanaerobaculum_sp_ICM7,-0.9996801936033864,0.3174653001817322,-0.03419006262626736,health_enriched,5,Lachnoanaerobaculum_sp_ICM7,0.46917438168450687
STR_Lachnospiraceae_bacterium_oral_taxon_096,-0.5995768312172082,0.5487882917966442,0.46683173992063143,health_enriched,5,Lachnospiraceae_bacterium_oral_taxon_096,0.6689609104382451
STR_Lachnospiraceae_bacterium_oral_taxon_500,4.905313562603381,9.327820434127049e-7,2.472160455616671,disease_enriched,6,Lachnospiraceae_bacterium_oral_taxon_500,1.1126757232137266e-5
STR_Lancefieldella_parvula,-0.9051717866718206,0.3653743860697927,-0.9199082307756561,health_enriched,5,Lancefieldella_parvula,0.5063694811091733
STR_Lancefieldella_rimae,1.484736748052035,0.1376135731118607,2.147154477827529,disease_enriched,5,Lancefieldella_rimae,0.2511635705976037
STR_Lautropia_dentalis,-1.9974898916358559,0.04577199145958285,-1.0221283143808104,health_enriched,4,Lautropia_dentalis,0.10543341481034947
STR_Lautropia_mirabilis,-4.024406678501682,5.7119138293444445e-5,-0.2383941075710395,health_enriched,6,Lautropia_mirabilis,4.2395093755578765e-4
STR_Leptotrichia_buccalis,2.3010241897442274,0.02139026381910742,1.2493108035870082,disease_enriched,5,Leptotrichia_buccalis,0.06106280440668272
STR_Leptotrichia_hofstadii,-0.3259072538543798,0.7444945273067868,0.20925972324794037,health_enriched,6,Leptotrichia_hofstadii,0.8416028801805431
STR_Leptotrichia_hongkongensis,-0.7626236765085677,0.4456878601924125,-0.6470979606526648,health_enriched,4,Leptotrichia_hongkongensis,0.5747480513678216
STR_Leptotrichia_massiliensis,0.7457580188393091,0.45581360410615523,0.5908755735740195,disease_enriched,4,Leptotrichia_massiliensis,0.5833017002737771
STR_Leptotrichia_sp_oral_taxon_212,0.5440991620041579,0.5863732370996976,0.5766555587618616,disease_enriched,6,Leptotrichia_sp_oral_taxon_212,0.7044915870190611
STR_Leptotrichia_sp_oral_taxon_215,-1.267924651263234,0.20482485985404622,-0.11317278303608963,health_enriched,4,Leptotrichia_sp_oral_taxon_215,0.34551264238005774
STR_Leptotrichia_sp_oral_taxon_498,1.93633913957426,0.05282617810839317,3.0117229298551793,disease_enriched,5,Leptotrichia_sp_oral_taxon_498,0.1184157281087471
STR_Leptotrichia_trevisanii,2.283384760802894,0.02240771412581102,4.449748511452064,disease_enriched,3,Leptotrichia_trevisanii,0.06289223964723428
STR_Leptotrichia_wadei,0.2380582067417623,0.8118359491403451,0.263509678179263,disease_enriched,5,Leptotrichia_wadei,0.8795873165423734
STR_Megasphaera_micronuciformis,-0.39766855476603796,0.6908745195114931,-0.8871083880641767,health_enriched,5,Megasphaera_micronuciformis,0.8012225330445789
STR_Mitsuokella_sp_oral_taxon_131,0.8028809901903785,0.42204352452756494,3.643491893965301,disease_enriched,2,Mitsuokella_sp_oral_taxon_131,0.5549706188669555
STR_Mogibacterium_diversum,-1.111687293714728,0.26627262487572384,-1.3884128921761243,health_enriched,5,Mogibacterium_diversum,0.41558437714248486
STR_Mogibacterium_timidum,5.325786585536037,1.0051709525068833e-7,3.15407361116412,disease_enriched,5,Mogibacterium_timidum,1.489040955911247e-6
STR_Mycoplasma_salivarium,1.0719065518748943,0.28376200709781824,0.798593046436409,disease_enriched,3,Mycoplasma_salivarium,0.4387801406049597
STR_Neisseria_bacilliformis,0.12778339582361306,0.8983203905442699,0.05062749909140446,disease_enriched,4,Neisseria_bacilliformis,0.9376219076305817
STR_Neisseria_elongata,-0.9178292526272923,0.3587082649160888,0.33438756978118495,health_enriched,6,Neisseria_elongata,0.5063694811091733
STR_Neisseria_sicca,-0.7771197214174624,0.4370881396120376,-0.16004840003181,health_enriched,6,Neisseria_sicca,0.5680566393282344
STR_Neisseria_sp_KEM232,1.1473829739550563,0.25122337481197915,1.531257347610297,disease_enriched,2,Neisseria_sp_KEM232,0.3995647961295287
STR_Neisseria_sp_oral_taxon_014,-1.325244079339464,0.18509020972440218,0.09301035411037115,health_enriched,6,Neisseria_sp_oral_taxon_014,0.3231342084179123
STR_Neisseria_subflava,-2.534408908097744,0.011263720788875704,-0.3176753997055325,health_enriched,6,Neisseria_subflava,0.035829359461757
STR_Olsenella_sp_oral_taxon_807,2.7991673606820884,0.005123457469222572,1.4509018204496478,disease_enriched,6,Olsenella_sp_oral_taxon_807,0.01838630975254111
STR_Olsenella_uli,2.0501157249605884,0.0403531392420171,4.2795987764882994,disease_enriched,3,Olsenella_uli,0.09766629352778051
STR_Oribacterium_SGB5283,-1.531059633577541,0.12575465506180478,0.1500919360505646,health_enriched,3,Oribacterium_SGB5283,0.23464835078571394
STR_Oribacterium_asaccharolyticum,-1.5156318933688853,0.12961245781864408,-0.8099501290959993,health_enriched,4,Oribacterium_asaccharolyticum,0.24050311617459513
STR_Oribacterium_parvum,-3.835873638357978,1.2511872947891417e-4,-3.4441590894284184,health_enriched,5,Oribacterium_parvum,7.884840687916477e-4
STR_Oribacterium_sinus,-3.420086537890076,6.260121792808609e-4,-2.5966029551259164,health_enriched,5,Oribacterium_sinus,0.003267001060621993
STR_Oribacterium_sp_oral_taxon_078,2.644180260489136,0.008188903290347145,1.8763549006234594,disease_enriched,4,Oribacterium_sp_oral_taxon_078,0.027627209080565113
STR_Ottowia_sp_Marseille_P4747,1.0455576884585978,0.2957652929496022,-0.7536449408196264,disease_enriched,5,Ottowia_sp_Marseille_P4747,0.44902549020530513
STR_Parvimonas_SGB6649,0.45409413130701426,0.6497610770986093,0.15813148660977455,disease_enriched,4,Parvimonas_SGB6649,0.7588118872410333
STR_Parvimonas_micra,4.486383973010335,7.244213806024733e-6,2.3736600890146358,disease_enriched,6,Parvimonas_micra,7.332022458218971e-5
STR_Pauljensenia_hongkongensis,-0.04458713481220989,0.9644363973947523,0.19659627080118636,health_enriched,6,Pauljensenia_hongkongensis,0.9761265355449917
STR_Peptidiphaga_gingivicola,3.5471424363445947,3.8943398257579624e-4,1.9605657102983263,disease_enriched,6,Peptidiphaga_gingivicola,0.0021678491696719322
STR_Peptoanaerobacter_stomatis,3.7850505013922744,1.5367736792145972e-4,4.406614981330917,disease_enriched,3,Peptoanaerobacter_stomatis,9.332407433775917e-4
STR_Peptostreptococcaceae_bacterium_oral_taxon_113,3.9376850909537335,8.227146661361332e-5,7.551913507074342,disease_enriched,4,Peptostreptococcaceae_bacterium_oral_taxon_113,5.846525499775925e-4
STR_Peptostreptococcus_SGB749,-3.664136619757257,2.4817429916758007e-4,-2.558387413616424,health_enriched,5,Peptostreptococcus_SGB749,0.0014542143144205568
STR_Peptostreptococcus_stomatis,5.322166331765595,1.0253874846095413e-7,4.931939263753712,disease_enriched,6,Peptostreptococcus_stomatis,1.489040955911247e-6
STR_Phocaeicola_abscessus,5.825654134673964,5.688932560032536e-9,5.623885096060366,disease_enriched,4,Phocaeicola_abscessus,1.1875646719067918e-7
STR_Porphyromonas_catoniae,-1.7376388663236995,0.0822744669151282,-1.245052920871793,health_enriched,5,Porphyromonas_catoniae,0.16946794776261645
STR_Porphyromonas_endodontalis,6.594050811223245,4.2798512366845636e-11,2.9752459480988307,disease_enriched,6,Porphyromonas_endodontalis,1.4294703130526443e-9
STR_Porphyromonas_gingivalis,7.504292233955399,6.176138313544838e-14,5.9911520036452846,disease_enriched,6,Porphyromonas_gingivalis,1.031415098361988e-11
STR_Porphyromonas_pasteri,-4.164904446358559,3.1148299297215945e-5,-0.7041621795806955,health_enriched,6,Porphyromonas_pasteri,2.600882991317531e-4
STR_Porphyromonas_sp_oral_taxon_278,1.1295327206008845,0.25867317450166694,0.49445071977324145,disease_enriched,5,Porphyromonas_sp_oral_taxon_278,0.40753226548847526
STR_Prevotella_aurantiaca,-0.8815041276825528,0.3780450208924884,-1.4851257171530368,health_enriched,3,Prevotella_aurantiaca,0.5153756611350658
STR_Prevotella_baroniae,4.3517166113482615,1.3507578099528849e-5,3.9518013938784167,disease_enriched,5,Prevotella_baroniae,1.289008881497896e-4
STR_Prevotella_buccae,2.9502281360437443,0.0031753936406436153,2.8068264702527603,disease_enriched,3,Prevotella_buccae,0.012477429129117264
STR_Prevotella_conceptionensis,2.023669428401145,0.04300417616539276,1.1040069741170304,disease_enriched,6,Prevotella_conceptionensis,0.10115066788198016
STR_Prevotella_dentalis,5.100831843452666,3.381639112242498e-7,5.257493053223866,disease_enriched,5,Prevotella_dentalis,4.344105628803824e-6
STR_Prevotella_denticola,2.493256997518892,0.012657719273617926,2.5237157135746524,disease_enriched,6,Prevotella_denticola,0.039883756956494223
STR_Prevotella_enoeca,1.5660168755174082,0.11734466650049535,3.6357264587640477,disease_enriched,3,Prevotella_enoeca,0.2226881739270764
STR_Prevotella_fusca,1.5792454988949995,0.11427975748798497,2.1382853324266446,disease_enriched,2,Prevotella_fusca,0.2181110800056399
STR_Prevotella_histicola,0.575344539820416,0.565058304381961,-0.06608669248371868,disease_enriched,5,Prevotella_histicola,0.6838024408100544
STR_Prevotella_intermedia,7.3399783077882095,2.136284755957608e-13,5.4016512046051774,disease_enriched,6,Prevotella_intermedia,1.427038216979682e-11
STR_Prevotella_jejuni,-1.4792798250469108,0.13906554263955725,0.6100325876624084,health_enriched,4,Prevotella_jejuni,0.2524341915305007
STR_Prevotella_koreensis,5.60753422261985,2.0522944151646466e-8,6.13059548719353,disease_enriched,4,Prevotella_koreensis,3.6077175508683785e-7
STR_Prevotella_loescheii,-0.36257135429531095,0.7169251121330537,-0.19021384442777026,health_enriched,6,Prevotella_loescheii,0.8256999567325515
STR_Prevotella_maculosa,2.0344977050128787,0.04190143975870601,1.7478449035832238,disease_enriched,5,Prevotella_maculosa,0.09944606177709789
STR_Prevotella_marshii,2.904448474078396,0.0036790075403531903,3.0013723737402205,disease_enriched,4,Prevotella_marshii,0.013963505891795062
